Company,Location,Date,Total,Litres,Price_pL
Esso Mead,Ruislip Road,06/12/2014,10,8.41,1.189
Esso Mead,Ruislip Road,06/04/2015,32.01,28.86,1.109
Esso Mead,Ruislip Road,19/04/2015,19.05,17.02,1.119
Esso Mead,Ruislip Road,01/07/2015,30.02,26.13,1.149
Petrogas,Greenford,11/07/2015,36.21,,
Shell,Birmingham,19/07/2015,20.01,15.89,1.259
Cornwall Garage,Bristol,23/07/2015,33.33,28.76,1.159
Esso Mead,Ruislip Road,02/08/2015,28.38,24.49,1.159
Shell,Bristol,01/09/2015,25.06,22.6,1.109
Esso,to Durham,02/09/2015,11.65,10.14,1.148915187
Shell ,Sheffield,03/09/2015,36.44,29.41,1.239
Shell,Ealing,13/09/2015,20.54,18.36,1.119
Shell,Bristol,26/09/2015,26.29,23.49,1.119
Esso Mead,Ruislip Road,27/09/2015,26.56,24.62,1.078797725
Shell,Great West Road,03/10/2015,37.34,33.67,1.109
Shell,Bristol,25/10/2015,32.79,30.11,1.089
ASDA,Bristol,08/11/2015,34.45,33.22,1.037
ASDA,Bristol,04/12/2015,35.39,34.13,1.037
Hanwell S,Hanwell,20/12/2015,35.32,34.32,1.029137529
Hanwell S,Hanwell,02/01/2016,22.74,22.1,1.028959276
Tesco,Swindon,07/02/2016,33.77,33.8,0.999
Hanwell S,Hanwell,19/02/2016,15.3,15.01,1.019320453
Rontec,Bristol,21/02/2016,33.6,,
ASDA,Bristol,19/03/2016,31.01,31.1,0.997
ASDA,Bristol,08/04/2016,26.99,26.28,1.027
ASDA,Bristol,16/05/2016,35.9,33.96,1.057
Shell,Bristol,25/05/2016,22.32,20.13,1.109
ASDA,Bristol,28/05/2016,28.23,26.21,1.077
MRH Cowley,Oxford,29/05/2016,35.58,31.8,1.119
ASDA,Bristol,08/06/2016,28.38,26.11,1.087
ASDA,Bristol,22/06/2016,33.47,30.51,1.097
ASDA,Bristol,28/06/2016,36.68,33.44,1.097
ASDA,Bristol,01/12/2016,27.39,24.97,1.097
ASDA,Bristol,31/05/2017,27.07,24.02,1.127
ASDA,Bristol,08/06/2017,36.04,31.7,1.137
MFG Hanwell,Hanwell,18/06/2017,24.57,21.38,1.149
ASDA,Bristol,26/06/2017,20.89,18.7,1.117
ASDA,Bristol,02/07/2017,36.85,33.29,1.107
Shell,Birmingham,04/07/2017,27.5,24.14,1.139
ASDA,Bristol,01/08/2017,33.51,30,1.117
ASDA,Bristol,22/08/2017,29.36,25.6,1.147
Applegreen,Greenford,26/08/2017,18.74,16.18,1.158
Esso Mead,Ruislip Road,07/09/2017,27.17,22.47,1.209167779
ASDA,Bristol,22/09/2017,23.67,20.28,1.167
MFG Hanwell,Hanwell,10/10/2017,40.18,34.08,1.179
MFG Hanwell,Hanwell,26/10/2017,32.61,27.43,1.189
MFG Hanwell,Hanwell,12/11/2017,29.95,24.57,1.219
Euro Mead,Ruislip Road,26/11/2017,30,24.41,1.229
MFG Hanwell,Hanwell,02/12/2017,30.08,25.09,1.199
Applegreen,Greenford,07/12/2017,20.04,16.87,1.188
Applegreen,Sheffield,10/12/2017,24.6,21.06,1.168
